	篇名	作者	刊名	发表时间	被引	下载	操作
1	基于CiteSpace和VOSviewer的中医医院评价研究文献可视化分析	陈敏娇 李宗友 刘晶 石英杰 马金戈 宋源 张雨琪	中国中医药图书情报杂志	2025-05-01		27	HTML阅读      CNKI AI阅读
2	国内中医护理在偏瘫患者中的应用——基于CiteSpace软件的可视化分析	李思颖 王珊珊	黑龙江科学	2025-04-15		29	HTML阅读      CNKI AI阅读
3	基于CiteSpace分析我国1994—2022年中医食疗养生研究热点及趋势	杨丽花 杨嫡 张新杭 唐昳蒙	微量元素与健康研究	2025-03-30		612	HTML阅读      CNKI AI阅读
4	基于CiteSpace对中医外治法治疗慢性荨麻疹可视化分析	张淼 唐磊 周汛 黄英如	光明中医	2025-03-15		113	HTML阅读      CNKI AI阅读
5	基于CiteSpace的中医文化传播研究热点可视化分析（2004-2023年）	邓金艳 叶年华 刘树琴 余静	文化创新比较研究	2025-03-11		70	HTML阅读      CNKI AI阅读
6	基于CiteSpace的中医络病可视化计量分析	陈彦灵 章美花 林基伟 吴海滨 宋晓容 程波敏 汪栋材	西部中医药	2025-02-15		91	HTML阅读      CNKI AI阅读
7	基于CNKI的中医妇科教学研究可视化分析	孙淼 王玉艳 高丽娟 郑晓英 赵芳园	中国中医药现代远程教育	2025-02-10		129	HTML阅读      CNKI AI阅读
8	基于CiteSpace分析中医外治法治疗强直性脊柱炎的研究现状及趋势	祝昌昊 王浩源 谢宁 秦媛 杨精华 张洪鹏	江汉大学学报(自然科学版)	2024-12-19		376	HTML阅读      CNKI AI阅读
9	基于CiteSpace的中医内科学教学改革研究热点提炼与趋势分析	刘江腾 阮智超 孙慧怡 赵进喜 朱立 李杰 肖永华 暴雪丽	中国医药导报	2024-12-15		116	HTML阅读      CNKI AI阅读
10	基于CiteSpace的中医外治法治疗肥胖症可视化分析	赵静雯 屈亚楠 刘彦晶	亚太传统医药	2024-12-03		653	HTML阅读      CNKI AI阅读
11	基于CiteSpace的中医传统功法干预糖尿病相关研究可视化分析	易俊儒 邓赟 易露茜 刘苹 何燕 罗尧岳	中医药导报	2024-11-28	2	423	HTML阅读      CNKI AI阅读
12	基于CiteSpace的压力性损伤中医护理技术研究的可视化分析	马文静 徐海霞 李超君 李梦缘 谢婷	全科护理	2024-11-25		708	HTML阅读      CNKI AI阅读
13	基于VOSviewer和CiteSpace近10年关于中医非药物干预糖尿病研究的可视化分析	任宇扬 侯滢 折宝宝	现代中医药	2024-11-04 08:40		491	HTML阅读      CNKI AI阅读
14	基于CiteSpace知识图谱分析中医治疗创伤后应激障碍	张光武 张泽国 盛雪燕 马天翔 曾俊媛	光明中医	2024-10-15		241	HTML阅读      CNKI AI阅读
15	基于CiteSpace的中医治疗糖尿病视网膜病变的可视化分析	陈鑫钰 张大铮 刘敏 黄莉红 蔡晓彤 林见知 周静 谢涛 钟娟 刘穆颉鑫 钱柯宏	黑龙江医药科学	2024-09-27	1	523	HTML阅读      CNKI AI阅读
16	基于CiteSpace的中医文化在“一带一路”沿线国家和地区传播研究现状的可视化分析	刘国伟	中医临床研究	2024-09-25		55	HTML阅读      CNKI AI阅读
17	基于CiteSpace的儿童肺炎中医证候研究的可视化分析	王辉 王雪峰 张秀英 李瑞雪 穆婧雯	中国医药导报	2024-09-05		189	HTML阅读      CNKI AI阅读
18	基于CitesSpace的近10年中国中医康复护理研究热点与发展趋势的可视化分析	竺晨 史颜凯 叶盼 卫心怡 张晓兰	中西医结合护理(中英文)	2024-08-25	1	197	HTML阅读      CNKI AI阅读
19	基于CiteSpace可视化分析的中医硕士研究生课程案例教学体系构建	李瑞丽 王玲玉 蒋海琳	吉林医药学院学报	2024-08-23 11:13		197	HTML阅读      CNKI AI阅读
20	中医治疗原发性痛经的可视化分析	余可嘉 卫哲 孙爽	光明中医	2024-08-17	2	861	HTML阅读      CNKI AI阅读
21	基于CiteSpace的中医内科学教学研究现状与热点可视化分析	刘明煊 方锦颖 黄正慧 马玉草 王艺文 王海隆	中医教育	2024-08-14 09:16	3	356	HTML阅读      CNKI AI阅读
22	基于CiteSpace对冠心病中医证候研究热点趋势可视化分析	李鹏 李岩 靳嘉麟 李俐霜 周娜 高欣雨 任星 孙娅楠 逯金金	天津中医药	2024-08-12	1	347	HTML阅读      CNKI AI阅读
23	河南特色中医养老模式探讨——基于全国中医药医养结合CiteSpace分析	王浩然 徐铂涵 艾素瑞 车志英 李萌	中国中医药现代远程教育	2024-08-07		544	HTML阅读      CNKI AI阅读
24	基于CiteSpace及VOSviewer对我国中医护理近20年研究热点的可视化分析	梅小红 黎张双子 贾本涛 吴才芳 邓婷	当代护士(下旬刊)	2024-08-01		319	HTML阅读      CNKI AI阅读
25	我国心系疾病中医护理研究的CiteSpace知识图谱可视化分析	房丽 马琳琳 文杰 王柯文 刘迎秋 杨云	护理研究	2024-07-24	1	2275	HTML阅读      CNKI AI阅读
26	基于CiteSpace的中医护理质量管理可视化分析	陈霞 徐艳艳 杨清文 梁传芹	中国医药科学	2024-07-15	1	137	HTML阅读      CNKI AI阅读
27	基于CiteSpace对化疗相关性恶心呕吐中医护理的可视化分析	刘季玉 彭小玉 肖菊花 刘婧雯 梁佳宁	湖南中医杂志	2024-06-28	1	413	HTML阅读      CNKI AI阅读
28	基于CiteSpace的中医外治法治疗肩周炎可视化分析	贾叶娟 檀占娜 李晓菲 李晓峰 张选平	湖南中医杂志	2024-06-28	1	425	HTML阅读      CNKI AI阅读
29	基于CiteSpace的中医文化在“一带一路”沿线国家和地区传播研究热点与趋势的可视化分析	刘国伟	中医临床研究	2024-06-25		109	HTML阅读      CNKI AI阅读
30	基于CiteSpace对2013-2023年国内中医护理干预现状与趋势的分析	朱炜琴 胡珊 徐建华 季勇 王洋 庄一渝	护理与康复	2024-05-20	1	637	HTML阅读      CNKI AI阅读
31	基于CiteSpace的乳腺癌内分泌治疗中医相关文献可视化分析	梁藐尹 王宇坤 叶美贤 王雅惠 巫建辉	中国处方药	2024-05-15		159	HTML阅读      CNKI AI阅读
32	基于CiteSpace的文献计量学分析中医脉诊研究热点与趋势	王美伊 王歆荷 须怡晖 王忆勤 徐璡	河南中医	2024-05-10	1	416	HTML阅读      CNKI AI阅读
33	基于CiteSpace的中医象思维研究文献可视化分析	杨磊 刘为 樊新荣	中国中医药图书情报杂志	2024-05-01	1	346	HTML阅读      CNKI AI阅读
34	我国中医医保支付方式的CiteSpace可视化分析	李青峰 杨土保	湖南中医杂志	2024-04-28	2	631	HTML阅读      CNKI AI阅读
35	基于CiteSpace的中医治疗肝衰竭的可视化分析	裴浩 陈月桥 孙叶 张燕燕 李坚宇 张雪 黄钰雯	中国现代医药杂志	2024-03-25		158	HTML阅读      CNKI AI阅读
36	基于CiteSpace的糖尿病中医饮食相关研究可视化分析	吕俊嘉 郭桂英 闫丹 申婷婷 李瑾	全科护理	2024-03-15		960	HTML阅读      CNKI AI阅读
37	基于CiteSpace软件的中医诊疗设备研究的可视化分析	崔丹丹 刘一星 韩东燃	医疗卫生装备	2024-03-15		167	HTML阅读      CNKI AI阅读
38	中医问诊研究热点主题与趋势——基于CiteSpace的文献计量分析	须怡晖 王美伊 王歆荷 徐琎 王忆勤	上海中医药杂志	2024-03-10	4	669	HTML阅读      CNKI AI阅读
39	基于CiteSpace的中医夹板固定桡骨远端骨折的夹板应用材料、创新改良及生物力学的可视化分析	王仁杰 成冯镜茗 余志勇 熊巍 栗春辉	世界科学技术-中医药现代化	2024-03-06 12:00	2	1022	HTML阅读      CNKI AI阅读
40	基于CiteSpace和VOSviewer对于近20年中医治疗青光眼视神经病变的可视化分析	杨凡 左韬	中医临床研究	2024-02-26 18:22	1	896	HTML阅读      CNKI AI阅读
41	基于CiteSpace的骨质疏松症中医外治法可视化分析	齐士坤 徐明明 张秀芳 吴宗壁 朱梦霞 冯倩 李淑贤 骆家骐	全科护理	2024-02-25	3	639	HTML阅读      CNKI AI阅读
42	基于CiteSpace和VOSviewer的中医外治法治疗失眠的可视化分析	徐媛媛 唐娜娜 陈抒鹏 缪慧慧 王思梦	中国民间疗法	2024-02-14	1	418	HTML阅读      CNKI AI阅读
43	基于Citespace分析中医翻译研究的现状与趋势	刘萍萍 厍宇 李海英	中国中医基础医学杂志	2024-02-01	3	1612	HTML阅读      CNKI AI阅读
44	中医外治法治疗溃疡性结肠炎的CiteSpace可视化分析	彭婷婷 张小丫 洪艳燕	中国临床研究	2024-01-25 18:34	4	562	HTML阅读      CNKI AI阅读
45	基于CiteSpace中医外治法治疗干眼症的可视化分析	潘凯丽 黎琴 吕蝉 廖美英 张悦 朱璐 王康美 吴帆 王桂兰 覃婷婷	全科护理	2024-01-15		325	HTML阅读      CNKI AI阅读
46	基于CiteSpace对中医“肾藏精”理论相关研究的可视化分析	卜梦雅 方梦鑫 赵嘉静 朱友华 杨亚楠 张瑜娟 黄欲晓	中国医药导报	2024-01-15		402	HTML阅读      CNKI AI阅读
47	基于CiteSpace的慢性阻塞性肺疾病中医护理技术研究的可视化分析	邱予骅 吴林梅 陈美江 梁青莲 罗珍贞 梁志金	循证护理	2024-01-09	8	910	HTML阅读      CNKI AI阅读
48	基于CiteSpace的2013—2023年国内糖尿病合并冠心病中医治疗的可视化分析	张诗涵 王莉	中国医药科学	2023-12-15	3	301	HTML阅读      CNKI AI阅读
49	中医心理学研究进展及未来展望——基于CiteSpace分析法	艾柯妤 罗文萍 李炜弘 夏阳林 朱坤 何林熹 高智垚 李李	山西中医药大学学报	2023-11-28	3	785	HTML阅读      CNKI AI阅读
50	基于CiteSpace中医健康教育知识图谱可视化分析	李琨 朱波	全科护理	2023-10-20	3	518	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
51	基于VOSviewer和CiteSpace对中医治疗青光眼临床研究的可视化分析	曲铭宽 张祝强 左韬	实用中医内科杂志	2023-10-18 07:49		450	HTML阅读      CNKI AI阅读
52	基于CiteSpace的中医舌诊图像相关研究可视化分析	丁演龄 叶年华 余静	电脑编程技巧与维护	2023-10-18	1	199	HTML阅读      CNKI AI阅读
53	基于CiteSpace的中医治疗胸腰椎压缩性骨折文献可视化分析	梁晋杰 徐志强 赖俊辉	中国中医药图书情报杂志	2023-10-16	1	244	HTML阅读      CNKI AI阅读
54	基于CiteSpace的中医治疗三叉神经痛可视化分析	夏淑敏 姚纹 曹淑华	中国中医药图书情报杂志	2023-10-16	4	402	HTML阅读      CNKI AI阅读
55	基于CiteSpace的我国中医五音疗法研究热点及态势的可视化分析	曹彩虹 蒋谷芬 谢冰婵 徐若馨 何花	中国医药科学	2023-10-15	7	797	HTML阅读      CNKI AI阅读
56	基于CiteSpace和Vosviewer知识图谱对中医湿热证基础研究的可视化分析	李志鹏 赵少莉 曹世杰 邱峰 康宁	天津中医药	2023-10-12	3	334	HTML阅读      CNKI AI阅读
57	基于CiteSpace中医舌诊近20年研究现状可视化分析	郑润晨 宋姗姗 李继明 任玉兰	中医眼耳鼻喉杂志	2023-10-11		189	HTML阅读      CNKI AI阅读
58	基于CiteSpace的中医治疗肺纤维化的可视化分析	阮洁 宋文杰	中国医药导报	2023-10-05	1	265	HTML阅读      CNKI AI阅读
59	基于CiteSpace可视化分析肱骨外上髁炎中医外治法的研究现状及热点	万田豪 张格知 谷金玉 李法杰 夏迪 张清	中医药导报	2023-09-28	4	375	HTML阅读      CNKI AI阅读
60	基于CiteSpace的中医外治法治疗原发性失眠可视化分析	朱沥钰 危椠罡 陈水凤 黄沐晗	中国医药科学	2023-09-15	2	284	HTML阅读      CNKI AI阅读
61	基于VOSviewer和CiteSpace对近20年年中中医医药治疗ION的可视化分析	林冀鲁 龙思羽 周芷伊 焦文鑫 王影	中国中医眼科杂志	2023-09-04	2	330	HTML阅读      CNKI AI阅读
62	基于CiteSpace的中医基础理论教学热点与动态可视化分析	杨璇 李冬华 王文娟 杨铮	中国中医药图书情报杂志	2023-09-01	3	297	HTML阅读      CNKI AI阅读
63	中医干预心肌缺血再灌注损伤进展的CiteSpace知识图谱分析	葛腾 李舒钰 宁博 吴永青 赵明君	中医药导报	2023-08-28	3	278	HTML阅读      CNKI AI阅读
