	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1	基于CiteSpace和方证相应思想的中药治疗银屑病的组方规律研究	马晓宇	天津中医药大学	硕士	2024		299	原版阅读      CNKI AI阅读
2	基于“肠道菌群-代谢-炎症”探索半夏泻心汤治疗溃疡性结肠炎的作用机制	罗玉婷	中国中医科学院	博士	2024	1	5277	原版阅读      CNKI AI阅读
3	基于升阳散火汤的“火郁发之”理论及其临床应用研究	徐鹏	中国中医科学院	博士	2024	1	696	原版阅读      CNKI AI阅读
4	胡黄连苷Ⅱ对动脉粥样硬化性ApoE-/-小鼠的肝保护作用机制	刘姿杉	青岛大学	硕士	2024		118	原版阅读      CNKI AI阅读
5	肠炎宁片通过Wnt/β-catenin信号通路干预结直肠癌前病变-癌的机制研究	张凯轩	中国中医科学院	硕士	2024		279	原版阅读      CNKI AI阅读
6	仝小林院士治疗老年糖尿病的门诊数据挖掘及核心方药的临床疗效观察	张琪棋	中国中医科学院	硕士	2024		441	原版阅读      CNKI AI阅读
7	基于数据挖掘的周斌教授治疗慢性萎缩性胃炎的用药规律研究	王思雨	中国中医科学院	硕士	2024		602	原版阅读      CNKI AI阅读
8	耐水性抗菌聚乙烯醇复合纳米纤维材料制备与性能研究	产虹雨	青岛大学	硕士	2024		176	原版阅读      CNKI AI阅读
9	榆黄蘑三种病害病原菌鉴定及其植物源抑菌剂的筛选	黄梅	重庆三峡学院	硕士	2024	1	623	原版阅读      CNKI AI阅读
10	加减荆芥连翘汤治疗慢性萎缩性胃炎的临床回顾性分析	黎永鸿	南方医科大学	硕士	2024		303	原版阅读      CNKI AI阅读
11	鼻咽癌不同中医证型差异SE-lncRNA谱筛选及黄连素抗鼻咽癌分子机制研究	吴瑶	湖南中医药大学	博士	2024		73	原版阅读      CNKI AI阅读
12	黄连解毒汤调控P2RY12/PI3K/AKT自噬通路抑制动脉粥样硬化机制研究	林晋海	广州中医药大学	博士	2024		356	原版阅读      CNKI AI阅读
13	基于转录组学整合分析《普济方》治消渴丸防治T2DM的机制研究	丁雷	北京中医药大学	博士	2024		122	原版阅读      CNKI AI阅读
14	益智清心方调控小胶质细胞衰老改善AD认知功能的研究	姚久秀	山东中医药大学	博士	2024		22	原版阅读      CNKI AI阅读
15	动脉粥样硬化之热损脉络机理的证素分析与机制探讨	纪凌云	山东中医药大学	博士	2024		8	原版阅读      CNKI AI阅读
16	基于明清文献的温病下法研究	夏富龙	山东中医药大学	博士	2024		16	原版阅读      CNKI AI阅读
17	奇珍异宝药物的文献研究——以本草文献中的七种药物为研究对象	鄢梁裕	长春中医药大学	博士	2024		1493	原版阅读      CNKI AI阅读
18	蒙药地格达-4提取物防治非酒精性脂肪肝作用机制研究	吉小平	内蒙古民族大学	博士	2024		965	原版阅读      CNKI AI阅读
19	基于“通透”祛邪法对疫病治疗思想和有效方药作用机制研究	王秋月	长春中医药大学	博士	2024		422	原版阅读      CNKI AI阅读
20	枳实导滞汤治疗非酒精性脂肪肝的回顾性研究及机制探讨	李怡憬	长春中医药大学	博士	2024		1324	原版阅读      CNKI AI阅读
21	基于古今医案数据分析的胃痛病证治规律研究	周岚	黑龙江中医药大学	博士	2024		1174	原版阅读      CNKI AI阅读
22	基于机器学习优化益气活血解毒法在脓毒症介入时机的临床研究	潘郭海容	黑龙江中医药大学	博士	2024		565	原版阅读      CNKI AI阅读
23	林下种植模式下竹溪黄连规模化生产技术研究	张亚豪	华中农业大学	硕士	2024		109	原版阅读      CNKI AI阅读
24	基于斑马鱼模型评价三萜天然产物和低氘水生物活性的研究	王金如	山西大学	硕士	2024		169	原版阅读      CNKI AI阅读
25	漆树族分子系统发育与进化研究	牛利雅	山西大学	硕士	2024		94	原版阅读      CNKI AI阅读
