	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1	耳穴电刺激调节下丘脑-自主神经-脂肪改善大鼠肥胖的效应机制研究	辛陈	中国中医科学院	博士	2024		463	原版阅读      CNKI AI阅读
2	健脾理气降脂汤治疗成人单纯性肥胖脾虚湿盛证的临床疗效观察	黄谦	湖南中医药大学	硕士	2024		55	原版阅读      CNKI AI阅读
3	“减肥祛脂茶”治疗非酒精性脂肪性肝病的临床疗效观察	聂启淋	福建中医药大学	硕士	2024		97	原版阅读      CNKI AI阅读
4	卵巢功能障碍性疾病患者生活方式与中医证素的相关性研究	杨心倩	广州中医药大学	硕士	2024		16	原版阅读      CNKI AI阅读
5	艾灸“神阙穴”调控食源性肥胖大鼠脂质代谢紊乱的机制研究	骆雨	广西中医药大学	硕士	2024		26	原版阅读      CNKI AI阅读
6	经筋手法松解术联合热敏灸治疗单纯性肥胖的临床疗效观察	朱泳森	江西中医药大学	硕士	2024		111	原版阅读      CNKI AI阅读
7	基于循证构建肥胖型多囊卵巢综合征患者体重管理方案	伍虹瑾	成都医学院	硕士	2024		473	原版阅读      CNKI AI阅读
8	发酵乳杆菌发酵参荷苓的抗肥胖功效及作用机制研究	燕宪涛	扬州大学	博士	2023	1	2014	原版阅读      CNKI AI阅读
9	排毒减肥片联合穴位埋线治疗超重/肥胖型2型糖尿病临床观察	孙玉范	山东中医药大学	硕士	2023		354	原版阅读      CNKI AI阅读
10	三种选穴方法埋线治疗产后肥胖症的临床疗效比较	陈玉	云南中医药大学	硕士	2023	2	450	原版阅读      CNKI AI阅读
11	基于数据挖掘探析向楠教授治疗单纯性肥胖的用药规律	闻璐	湖北中医药大学	硕士	2023	1	268	原版阅读      CNKI AI阅读
12	艾灸结合生活方式干预治疗腹型肥胖的临床及代谢机制的研究	王丽华	湖北中医药大学	博士	2023	2	931	原版阅读      CNKI AI阅读
13	温针灸联合神阙穴敷贴治疗脾肾阳虚型单纯性肥胖的临床观察	曾逸谦	广西中医药大学	硕士	2023		516	原版阅读      CNKI AI阅读
14	脐针结合体针治疗脾虚湿阻型腹型肥胖的临床观察	刘玉	广西中医药大学	硕士	2023		277	原版阅读      CNKI AI阅读
15	比较针刺、埋线治疗重颏的临床疗效差异研究	吴小莉	成都中医药大学	硕士	2023	1	162	原版阅读      CNKI AI阅读
16	调体质无痛减肥法对气虚质腹型肥胖的临床疗效观察	刘思韵	广州中医药大学	硕士	2023		163	原版阅读      CNKI AI阅读
17	针刺结合夹脊穴埋线治疗脾虚湿阻型腹型肥胖的临床疗效观察	万有魁	浙江中医药大学	硕士	2023	1	524	原版阅读      CNKI AI阅读
