词语	频率
单纯性	3296
肥胖	3199
治疗	1395
儿童	1205
影响	650
观察	546
临床	482
肥胖症	469
例	419
疗效	385
埋线	375
穴位	343
患者	300
干预	284
因素	283
临床研究	262
针刺	259
调查	248
针灸	230
血清	225
水平	221
运动	217
关系	197
胰岛素	193
血脂	182
减肥	171
电针	168
代谢	163
联合	160
结合	156
岁	149
脾虚	146
大鼠	142
变化	140
相关性	132
及其	130
学龄前	129
配合	129
瘦素	128
疗法	127
湿	123
青少年	120
饮食	115
功能	115
研究进展	115
阻型	110
综合	104
中医	102
抵抗	101
耳穴	91
型	89
不同	85
6	79
行为	78
肥胖病	77
健康	73
痰	72
小儿	72
在	71
脂肪	70
法	69
有氧	69
指标	66
3	65
超重	63
脂肪肝	62
营养	58
血浆	56
推拿	54
中药	54
女性	54
基因	53
小学生	52
因子	52
贴压	51
1	51
肥胖者	50
表达	49
质量	47
蛋白	47
护理	47
体重	46
脂联素	46
状况	45
2	45
7	45
检测	43
30	43
健脾	42
合并	41
综合征	41
流行病学	41
体质	40
实验	40
0	40
城区	40
大学生	39
糖脂	39
防治	38
处方	38
危险	38
血压	38
内分泌	37
血糖	37
炎症	37
心理	37
教育	36
成分	36
方法	36
维生素	36
d	36
为主	36
指数	36
测定	36
技术	35
针对	35
从	35
耳压	34
多态性	34
体	34
人群	33
方	33
情况	33
异常	32
经验	32
汤	32
针法	32
电	32
糖尿病	32
地区	32
腹部	31
高脂血症	31
脂	31
伴	31
以下	31
对比	30
调节	29
肠道	29
辨证	29
学生	29
拔罐	29
模型	29
改变	29
方式	28
对照	28
临床意义	28
25	28
发育	28
生活	27
脾	27
meta分析	27
机理	27
患儿	27
胃	27
c	27
超声	27
含量	27
预防	27
并发	26
小鼠	26
下丘脑	26
激素	26
反应	26
细胞	26
意义	26
中医药	26
60	26
胃肠	25
受体	25
发生	25
概况	25
教授	24
儿	24
灸	24
穴	24
血管	24
免疫	24
曲明	24
女	24
特点	23
贴	23
降脂	23
疾病	23
西布	23
针	22
特征	22
减重	22
文献	22
取穴	22
膳食	22
leptin	22
单纯	22
脂蛋白	22
腹型	21
现状及	21
成人	21
菌群	21
性	21
双	21
β	21
诊断	21
50	21
安全性	20
初探	20
改善	20
对策	20
初步	20
胍	20
控制	20
青春期	20
身体	20
腹针	20
心脏	20
5	20
理论	19
α	19
化痰	19
二甲	19
心血管	19
内皮	19
并	19
幼儿园	19
饮	18
他	18
湿型	18
学龄期	18
状态	18
问题	18
刺激	18
素	18
早期	18
社区	18
性激素	18
保健	18
名	18
作用机制	17
下	17
训练	17
调理	17
经络	17
成像	17
加	17
腹腔镜	17
40	17
胃热湿	16
分布	16
男性	16
俞募配穴	16
形态	16
北京市	16
中学生	16
微量元素	16
价值	16
措施	16
载脂蛋白	16
减脂	15
探析	15
肾阳虚	15
方案	15
糖	15
病例	15
原因	15
生长发育	15
高血压	15
现况	15
出生	15
短期	15
知识	15
学龄儿童	15
浅析	15
温	14
脑	14
湿盛型	14
艾灸	14
中心	14
以	14
指导	14
佩连	14
麻黄	14
网络	14
体针	14
实热型	14
紊乱	14
发病	14
前后	14
病因	14
中小学生	14
胶囊	14
健康状况	14
脂质	14
儿童心理	14
结果	14
症	14
血液	14
配对	14
数据挖掘	13
健康管理	13
效应	13
10	13
上海市	13
加味	13
非	13
生化	13
少年	13
心功能	13
心肌	13
皮质醇	13
激素水平	13
老年	13
社会	13
危害	13
80	13
集体	13
湿质	12
管理	12
bmi	12
三焦	12
证型	12
随机对照	12
分子	12
12	12
按摩	12
外周血	12
低	12
少儿	12
点穴	12
家庭	12
内皮素	12
肽	12
报告	12
体脂	12
血	12
8	12
幼儿	12
流行	12
体会	12
100	12
用药	11
推拿法	11
血症	11
论治	11
人体	11
能量	11
npy	11
针药	11
尿	11
酒精性	11
a	11
评估	11
神经	11
神经肽	11
y	11
系统	11
组织	11
高	11
术	11
试验	11
重度	11
损害	11
肺	11
糖耐量	11
区	11
32	11
浅谈	11
35	11
生理	11
盐酸	11
调控	10
环境	10
食欲	10
益气	10
阻证	10
成因	10
司	10
八法	10
内脏	10
刮痧	10
能力	10
综述	10
颈动脉	10
追踪	10
结构	10
高脂	10
脂肪组织	10
手法	10
手术	10
思路	10
睡眠	10
18	10
程度	10
运用	10
后	10
56	10
流变学	10
男童	10
敏感性	10
敷	9
肝郁	9
耳针	9
轻身	9
平衡	9
火罐	9
奥利	9
灵龟	9
消脂	9
成年	9
4	9
颗粒	9
损伤	9
tnf	9
磁共振	9
oh	9
药物	9
t	9
等	9
il	9
诱导	9
细胞因子	9
半胱氨酸	9
内脂	9
43	9
方对	9
血流	9
酶	9
d3	9
释放	9
济南市	9
基础	9
生长激素	9
48	9
患病率	9
呼吸	9
并用	9
近况	9
英文	9
活性	9
儿童期	9
心动图	9
证候	8
期	8
揿	8
气滞	8
茶	8
健身操	8
三针	8
肝脏	8
随机对照试验	8
自我意识	8
微量	8
祛湿	8
肝病	8
脐	8
差异	8
弹性	8
机能	8
配穴	8
分型	8
同	8
前	8
crp	8
妇女	8
左心室	8
发生率	8
标准	8
中西医	8
营养状况	8
瘀	8
igf	8
锻炼	8
思考	8
大连市	8
高敏	8
耐力	8
28	8
少年儿童	8
深圳市	8
心电图	8
肿瘤	8
坏死	8
婴幼儿	8
儿童智力	8
认识	8
诊治	8
内盛	7
汀	7
湿热	7
探究	7
通元	7
频率	7
脾胃	7
肥	7
体育锻炼	7
腑	7
循经	7
压豆	7
肾	7
脂肪性	7
某	7
走罐	7
复方	7
肾脏	7
胰岛	7
脂肪酸	7
幼鼠	7
腰围	7
参数	7
局部	7
分泌	7
信号通路	7
白术散	7
外治法	7
温阳	7
nesfatin	7
其	7
羟	7
为	7
有效性	7
苓	7
合剂	7
甲状腺	7
凋亡	7
动脉	7
关联	7
城市	7
康复	7
e	7
活血	7
样	7
辅助	7
制剂	7
大黄	7
中老年	7
与其	7
通气	7
120	7
托幼	7
胃切除术	7
体检	7
回归	7
肾功能	7
20	7
适应能力	7
附	7
小学	7
b	7
证素	6
组学	6
敷贴	6
杆菌	6
核心	6
八段锦	6
调肝	6
厚度	6
青年	6
通路	6
两虚型	6
甘汤	6
引气	6
归元	6
运腹	6
层次	6
meta	6
背	6
白蛋白	6
热敏	6
受损	6
设计	6
调整	6
9	6
并发症	6
系统评价	6
温针	6
时间	6
抑制	6
斑点	6
调节作用	6
外周	6
病	6
市区	6
身体素质	6
浓度	6
mri	6
性别	6
空腹	6
及体	6
自拟	6
药理学	6
可	6
长春市	6
活动	6
桂术	6
ghrelin	6
汤加减	6
薄氏	6
炎性	6
自主神经	6
态度	6
生活习惯	6
天津市	6
片	6
固本	6
热型	6
策略	6
化湿	6
举隅	6
36	6
复杂	6
生长因子	6
徐州市	6
罐	6
肝功能	6
暂停	6
初中生	6
实施	6
所	6
动力学	6
中国	6
包头市	6
监测	6
概述	6
mrna	6
检出率	6
减肥茶	6
机构	6
袖状	6
62	6
钙	6
52	6
有效	6
舒张	6
女生	6
