词语	频率
小檗	805
小檗碱	795
盐酸	173
黄连	134
制备	131
生物	122
质量	117
抗	91
中药	88
活性	86
在	86
成分	83
细胞	79
工艺	74
标准	72
药	70
质量标准	68
药物	58
合成	57
颗粒	51
分子	50
抑制	48
代谢	48
生物碱	48
衍生	45
提取	44
衍生物	43
复方	43
纳米	41
黄柏	41
动力	41
力学	40
动力学	39
胶囊	36
代	34
技术	33
肿瘤	33
联合	32
连	32
体内	31
凝胶	30
丸	29
通路	29
方法	28
有效	28
控制	28
配伍	27
汤	27
荧光	27
诱导	27
量控	27
抗肿瘤	27
抗菌	25
苷	25
药学	25
初步	25
大鼠	25
化学	25
研制	25
作用机制	24
药效	24
黄	24
肠	23
主要	23
吸收	23
制剂	23
性能	22
微	22
糖尿	21
糖尿病	21
筛选	21
提取物	21
效成	21
碱	21
菌	20
系统	20
调节	20
有效成分	20
型	20
机理	19
四	19
碱类	19
葛根	19
多	18
药理	18
信号	18
蛋白	18
相互	18
模型	18
关系	18
脂肪	18
炎	17
天然	17
相互作用	17
靶向	17
化合	17
化合物	17
结肠	17
片	17
含量	17
体	16
损伤	16
物质	16
分离	16
新型	16
不同	16
脂	16
设计	16
β	16
体外	15
建立	15
耐药	15
肠道	15
协同	15
复合	15
实验	15
表达	15
原	15
药效学	15
2	15
功能	14
8	14
1	14
组分	14
缓释	14
降糖	14
中小	14
测定	14
等	14
米粒	13
抑菌	13
基因	13
杆菌	13
解毒	13
结构	13
信号通路	13
水	13
植物	13
酶	13
糖	13
光谱	13
高	13
葛根芩	13
氧化	12
纤维	12
效应	12
受体	12
凋亡	12
聚糖	12
氢	12
学	12
单体	12
性质	12
三	12
连生	12
学成	12
膜	11
真菌	11
促进	11
光	11
理学	11
康	11
心肌	11
壳聚糖	11
小鼠	11
联用	11
色谱	11
过程	11
柏	11
剂	11
特征	11
化学成分	11
球菌	10
性	10
检测	10
群	10
药理学	10
介导	10
口服	10
素	10
皮	10
药单	10
炎症	10
效	10
双	10
组织	10
几种	10
清	10
三种	9
葡萄	9
质	9
源	9
内外	9
黄芩	9
膏	9
炮制	9
产物	9
载体	9
核酸	9
网络	9
环境	9
载	9
脂质体	9
质体	9
神经	9
类化	9
类化合物	9
烷基	9
形成	9
总	9
变化	9
临床	9
基础	9
霉素	8
外	8
泌	8
增强	8
配体	8
方	8
用于	8
白头	8
白头翁	8
优化	8
基	8
球	8
多糖	8
传感	8
乳	8
初探	8
增殖	8
甲基	8
交泰	8
肠癌	8
自	8
共晶	8
吴茱萸	8
茱萸	8
胰岛	8
离子	8
α	8
分散	8
全	8
幽门	8
螺杆	8
螺杆菌	8
分分	8
图谱	8
探针	8
人	8
类	8
dna	8
药材	8
指标	8
金黄	7
敏	7
丹	7
下	7
增效	7
免疫	7
材料	7
温	7
影响	7
转化	7
点	7
一	7
念珠	7
念珠菌	7
急性	7
二甲	7
胍	7
动脉	7
给	7
特性	7
超	7
为	7
小分	7
表小檗碱	7
促	7
分布	7
毛细	7
泻心汤	7
法	7
血管	7
溶	7
转运	7
组	7
大肠	7
安	7
液	7
胰岛素	7
抵抗	7
葡萄球菌	6
巨噬细胞	6
血症	6
运动	6
鉴定	6
探究	6
肾	6
修复	6
铁	6
递送	6
癌细胞	6
修饰	6
改性	6
羟基	6
高效	6
代谢物	6
胶质	6
金	6
生化	6
足	6
碳	6
肾病	6
中草药	6
草药	6
构	6
调	6
反应	6
他	6
ppar	6
醇	6
人参	6
复合物	6
子化	6
内生	6
以	6
黄连素	6
组合	6
肥厚	6
4	6
因子	6
血清	6
毛细管	6
细管	6
电泳	6
定位	6
前列	6
动	6
胃	6
氟康唑	6
物质基础	6
饮片	6
谱分析	6
前	6
栓	6
己	6
汀	6
指纹	6
指纹图	6
黄色	5
结合	5
蒙药	5
味	5
盐	5
分化	5
感染	5
化	5
链	5
左	5
甲状腺	5
阿霉素	5
il	5
痛风	5
从	5
酚	5
经	5
内皮	5
内皮细胞	5
表型	5
小	5
量子	5
孔	5
肝脏	5
肝	5
酮	5
敏感	5
双黄	5
白血	5
白血病	5
噬	5
酸	5
甘草	5
a	5
超声	5
创面	5
产	5
四种	5
皂	5
荧光法	5
液相	5
相色谱	5
中生	5
缓解	5
腺癌	5
复配	5
川	5
激活	5
香	5
大黄	5
黄素	5
异	5
固	5
厚朴	5
妙	5
生长	5
参	5
环糊精	5
糊精	5
综合	5
替	5
胺	5
类药物	5
差异	5
动脉粥样硬化	5
粥样	5
硬化	5
洗剂	5
培养	5
藏药	5
硫酸	5
成像	5
蛋白质	5
白质	5
质谱	5
光谱分析	5
药品	5
萸	5
毒性	5
舒	5
须	5
消	5
多指	5
共振	5
分析方法	5
中成	5
中成药	5
成药	5
散射	5
金黄色	4
抗氧化	4
顺	4
铂	4
组装	4
负载	4
种植	4
间	4
白	4
柔	4
比	4
星	4
肠炎	4
磷脂	4
肺癌	4
癌	4
肌细胞	4
活化	4
二	4
拮抗	4
电化	4
电化学	4
脑	4
红	4
岩	4
病菌	4
nlrp3	4
去	4
聚合	4
聚合物	4
ampk	4
线粒体	4
条件	4
黑	4
病毒	4
pi3k	4
吸附	4
直肠	4
十六	4
催化	4
敏感性	4
感性	4
no	4
以及	4
逆转	4
宁	4
心	4
钙	4
新	4
脂肪酸	4
环	4
晶体	4
辅助	4
纤维素	4
氨酸	4
喷雾	4
溃疡	4
通	4
b	4
作为	4
早期	4
含	4
降低	4
皮质	4
预测	4
关键	4
银	4
密度	4
适配	4
新方	4
产地	4
加工	4
tgf	4
综合征	4
保护	4
释放	4
千金	4
溶解	4
降脂	4
术	4
萃取	4
非	4
尼	4
黄檗	4
愈	4
粒子	4
部位	4
乳化	4
痛	4
苦参	4
小肠	4
安全	4
安全性	4
法测定	4
葫芦	4
某些	4
洁	4
胆固醇	4
固醇	4
品质	4
妇	4
地	4
渗	4
无	4
——	4
清热	4
颗粒剂	4
葛根素	4
戊	4
部分	4
分散片	4
出度	4
喹啉	4
阿托	4
伐	4
白念	4
13	4
外抗	3
氧	3
西林	3
处理	3
自组	3
愈合	3
生产	3
干细胞	3
微胶囊	3
高尿酸	3
尿酸	3
朴	3
能及	3
激动	3
药性	3
摄取	3
制作	3
再生	3
pd	3
糖脂	3
表征	3
bbr	3
成	3
骨	3
光敏	3
苦味	3
识别	3
nrf2	3
死亡	3
白蛋白	3
明胶	3
关节	3
关节炎	3
奶牛	3
疗法	3
炭	3
酵母	3
吡啶	3
偶联	3
微生	3
微生物	3
根除	3
散	3
发现	3
ir	3
stat3	3
共轭	3
掺杂	3
介	3
分子筛	3
酰胺	3
簇	3
方式	3
纤维化	3
延胡索	3
akt	3
结	3
直肠癌	3
利	3
紊乱	3
病	3
聚	3
溶性	3
视网	3
视网膜	3
网膜	3
吉	3
ros	3
利用	3
胃癌	3
微囊	3
酸盐	3
5	3
阳离子	3
相	3
h	3
基化	3
整体	3
固体	3
羧甲基	3
化学发光	3
发光	3
模拟	3
关	3
生理	3
状态	3
磁	3
κ	3
单	3
半夏	3
二聚体	3
乳腺	3
乳腺癌	3
阴	3
肾上腺	3
水平	3
系	3
乙酰	3
乙酰化	3
酰化	3
cyp450	3
慢性	3
管内	3
3	3
途径	3
胶质瘤	3
激素	3
小儿	3
靶点	3
草	3
并	3
脂肪肝	3
缺血	3
灌注	3
叶	3
分泌	3
唑	3
属性	3
苍	3
中黄	3
传统	3
芒果	3
液体	3
光学	3
传感器	3
感器	3
浓度	3
脂肪组织	3
地黄	3
新生	3
止	3
相关性	3
类似	3
类似物	3
藤	3
葡萄糖	3
血糖	3
9	3
口腔	3
microrna	3
加味	3
纯化	3
洗液	3
丹参	3
色谱法	3
g	3
脲	3
泽	3
号	3
表面	3
益气	3
上皮	3
疡	3
物质量	3
上调	3
低密度	3
脂蛋白	3
雷公	3
雷公藤	3
黄片	3
织物	3
烧伤	3
渗透	3
连花	3
果	3
功劳	3
微粒	3
乙基	3
种	3
大肠癌	3
转移	3
取法	3
芩	3
学部	3
儿童	3
酒精	3
酒精性	3
栀子	3
稳定	3
物体	3
毒素	3
行为	3
烯	3
药用	3
种天然	3
同系	3
同系物	3
成份	3
家兔	3
梓	3
包衣	3
衣片	3
方剂	3
hplc	3
牛黄	3
甲	2
预处理	2
多功能	2
万古	2
万古霉素	2
充	2
吞噬	2
致病	2
致病性	2
马	2
抗体	2
hepcidin	2
激动剂	2
呼吸	2
耐药性	2
黄皮	2
垂钓	2
提	2
入	2
t	2
抗感染	2
依赖	2
还原	2
溶血	2
胡芦巴	2
裁	2
增加	2
金丸	2
未分	2
当归	2
六	2
成型	2
痛风性	2
口服液	2
心肌细胞	2
细胞焦亡	2
软骨	2
磷酸	2
糖水	2
藻	2
电极	2
抗生	2
抗生素	2
附子	2
粘附	2
梅	2
响应	2
铜绿	2
假单	2
单胞菌	2
阿莫	2
阿莫西林	2
莫西	2
薄膜	2
芯片	2
生物膜	2
芍药	2
抗菌药	2
桃	2
肝细胞	2
星形	2
