词语	频率
黄连	1336
汤	518
教授	430
挖掘	412
数据	405
数据挖掘	372
中药	352
中医	308
黄连素	291
治	280
方	277
解毒	234
证	230
生物	229
临床	208
质量	191
抗	179
成分	177
连	177
制备	159
经验	158
在	157
活性	154
温	154
药	154
用药	153
法	151
胆	147
技术	146
配伍	139
小檗	138
文献	137
丸	133
复方	132
加味	132
工艺	132
小檗碱	132
病	128
提取	123
辨	123
颗粒	119
标准	118
联合	114
理论	112
方法	112
糖尿	112
糖尿病	112
思想	110
学术	110
伤寒	105
质量标准	104
泻心汤	103
加减	103
汤加	103
型	102
药理	100
学术思想	98
植物	96
理学	96
清热	96
论	95
筛选	94
网络	93
细胞	90
药理学	87
胶囊	87
黄	85
化学	85
葛根	83
药物	82
代谢	81
物质	81
生物碱	81
运用	78
清	78
方剂	77
半夏	75
医案	75
药效	74
从	74
胃	73
伤寒论	71
有效	70
葛根芩	68
总结	65
方药	65
不同	64
医药	64
汤加减	64
分子	63
学	62
抑制	62
临床经验	62
提取物	61
经	61
辨证	61
功能	61
黄连木	61
制剂	60
中医药	59
脾胃	59
初步	59
碱	58
结肠	58
肠	58
胡黄连	56
2	56
散	55
机理	55
特点	55
分离	55
系统	54
实验	54
慢性	53
组方	53
动力	53
力学	53
探究	52
经验总结	52
溃疡	52
杆菌	52
类	52
方证	51
主要	51
苷	50
传承	50
控制	50
菌	49
草药	49
肝	49
地黄	49
动力学	49
组	48
中草药	48
通路	48
学成	48
胃炎	48
基础	48
合成	48
药学	48
李	47
化学成分	46
辅助	45
肠道	44
大黄	44
特性	44
关系	43
合	43
化	43
湿	43
三	43
特征	43
模型	42
膏	42
王	42
寒热	42
张	41
失眠	41
性	41
盐酸	41
鉴定	40
作用机制	40
量控	40
降糖	40
群	39
抑菌	39
整理	39
左	39
片	38
热	38
黄芩	38
树种	38
结构	38
组分	38
连作	38
肠炎	37
平台	37
效成	37
微	37
研制	37
信号	37
肾	37
体外	37
总	37
大鼠	37
药效学	36
饮	36
交泰	36
相关性	36
体内	36
古今	35
生态	35
味	34
阿胶	34
小	34
抗菌	33
心	33
刘	33
有效成分	33
分布	33
仲	33
降	33
物质基础	33
基因	33
蛋白	33
障碍	33
微生	33
变化	33
图谱	33
剂	33
宁	32
温病	32
临	32
结肠炎	32
氧化	31
香	31
消	31
证候	31
代	31
天然	30
杂	30
调	30
金丸	30
毒	30
建立	30
周	29
纳米	29
消渴	29
益气	29
活血	29
胃病	29
疗法	29
效	29
微生物	29
糖	29
色谱	29
煎	29
指纹	29
优化	28
下	28
探析	28
陈	28
炎	28
溃疡性	28
溃疡性结肠炎	28
合剂	28
健脾	28
热解	28
多	28
检测	28
综合	28
连生	28
岩	28
性能	27
药材	27
药性	27
反	27
流	27
浊	27
痰	27
诊治	27
四	27
指纹图	27
ⅱ	26
结合	26
地区	26
幽门	26
清热解毒	26
信号通路	26
保护	26
瘀	26
诱导	26
医家	25
调节	25
肿瘤	25
多样	25
多样性	25
人参	25
群落	25
影响	25
化痰	25
古代	25
因素	24
球菌	24
初探	24
光谱	24
现代	24
口服	24
1	24
资源	24
测定	24
仝	23
小林	23
液	23
湿热	23
灌肠	23
耐药	23
吴茱萸	23
茱萸	23
国医	23
医大	23
大师	23
食管	23
苦	23
黄黄	23
脾	23
调查	23
自	23
泻	23
康	23
处理	23
以	23
乌梅	23
复合	22
葡萄	22
老中	22
老中医	22
患者	22
