词语	频率
可视化分析	622
citespace	595
中医药	464
治疗	354
知识图谱	208
中医	183
文献	144
文献计量学	63
vosviewer	55
计量	46
防治	40
慢性	32
护理	31
10	28
20	28
在	25
2022	25
干预	25
糖尿病	25
外治法	22
现状及	21
软件	20
综合征	20
cnki	19
冠心病	18
疾病	18
肺炎	17
发展趋势	17
图谱	17
障碍	16
症	16
中药	16
乳腺癌	15
研究进展	15
2021	15
疗法	14
数据挖掘	14
性	13
后	13
失眠	13
近十年	13
技术	12
肺	12
健康	12
心力衰竭	12
国内外	12
科学	11
证候	11
中国	11
调控	11
数据库	11
阻塞性	10
脑卒中	10
高血压	10
下	10
针灸	10
新型	10
冠状病毒	10
损伤	9
结合	9
化疗	9
理论	9
舌诊	9
型	9
体质	9
2000	9
诊治	9
调节	9
血瘀证	9
非	9
文化	8
合并	8
术后	8
腰椎间盘	8
突出	8
诊断	8
感染	8
中西医	8
肾病	8
急性	8
客观化	8
汤	8
小儿	8
2020	8
患者	7
2023	7
传播	7
儿童	7
骨折	7
教育	7
知识	7
网络	7
功能性便秘	7
标准	7
服务	7
2003	7
易激	7
抑郁	7
医学	7
发展	7
30	7
关节炎	7
手法	7
传统	6
脉诊	6
肝	6
期刊	6
视角	6
探究	6
耳穴	6
功能	6
颈椎病	6
代谢	6
肠	6
子宫	6
2004	5
强直性	5
脊柱炎	5
功法	5
视网膜病变	5
康复	5
管理	5
病变	5
翻译	5
态势	5
2	5
英译	5
围	5
法	5
2002	5
肺癌	5
cite	5
状况	5
心绞痛	5
肝硬化	5
便秘	5
神经	5
经皮	5
概况	5
40	5
of	5
演化	5
帕金森病	5
肝病	5
肝癌	5
中文	5
2010	5
荨麻疹	4
教学研究	4
关于	4
教学	4
特色	4
恶心	4
呕吐	4
主题	4
骨质疏松症	4
溃疡性结肠炎	4
临床研究	4
腰椎	4
2012	4
绝经期	4
推拿	4
功能性	4
2011	4
细胞	4
space	4
咳嗽	4
心肌梗死	4
动脉粥样硬化	4
根型	4
结	4
演进	4
睡眠	4
刮痧	4
压豆	4
介入	4
内膜	4
萎缩性	4
胃炎	4
高血压病	4
证	4
web	4
science	4
肥胖	4
菌群	4
酒精性	4
缺血性	4
穴位	4
癌	4
股骨头	4
坏死	4
2019	4
养生	3
内	3
教学改革	3
国家	3
研究生	3
课程	3
养老	3
相关性	3
2013	3
夹板	3
创新	3
青光眼	3
未来	3
压缩性	3
五音	3
肺纤维化	3
炎	3
心肌缺血	3
1992	3
拔罐	3
配伍	3
抑郁症	3
适宜	3
复发性	3
流产	3
孤独症	3
谱系	3
疫病	3
肿瘤	3
老中医	3
传承	3
2024	3
互联网	3
腹水	3
学术	3
玄府学说	3
鼻炎	3
疲劳	3
心房颤动	3
古籍	3
气虚证	3
人才培养	3
气虚	3
直肠癌	3
启示	3
卒	3
中后	3
类	3
溃疡	3
整合	3
药理学	3
肾	3
焦虑	3
放射性	3
脾虚	3
肾炎	3
冠状动脉	3
带状疱疹	3
胃癌	3
盆腔炎	3
性疾病	3
临床	3
人工智能	3
银屑病	3
痛风性	3
病	3
肠道	3
生态	3
药物	3
老年	3
论文	3
丸	3
支原体	3
教授	3
学术研究	3
增强	3
出版	3
早泄	3
期	3
吞咽	3
舌象	3
因性	3
疲乏	3
关键词	3
体检	3
中风	3
血府逐瘀汤	3
中医学	3
艾灸	3
至	3
抽动	3
哮喘	3
国际	3
黄帝内经	3
心律失常	3
辨证	3
covid	3
19	3
1994	2
食疗	2
压力	2
一带一路	2
沿线	2
地区	2
原发性痛经	2
医养	2
质量	2
肩周炎	2
方式	2
饮食	2
诊疗	2
固定	2
桡骨	2
远端	2
材料	2
视神经	2
胸	2
湿热证	2
原发性	2
对近	2
医药	2
再灌注损伤	2
调护	2
周围神经	2
双心	2
方剂	2
认知	2
1990	2
核心	2
面瘫	2
资助	2
卵巢功能	2
亚健康	2
医疗服务	2
生活	2
情志	2
健康管理	2
膝	2
多囊卵巢综合征	2
名	2
痰证	2
学说	2
术	2
甲状腺功能亢进	2
恶性肿瘤	2
mtor	2
流派	2
湿疹	2
支气管	2
水肿	2
巨噬细胞	2
极化	2
肾衰竭	2
通路	2
高尿酸	2
血症	2
视	2
2014	2
卵巢	2
储备	2
减退	2
冠状	2
心脏病	2
黄疸	2
桥本	2
甲状腺炎	2
甲状腺结节	2
葡萄膜	2
心肌	2
细胞焦亡	2
方药	2
消化性	2
师承	2
异常	2
脓毒症	2
视域	2
院校	2
系统性	2
红斑狼疮	2
知网	2
年来	2
自噬	2
特应	2
性皮炎	2
手术	2
注意	2
缺陷	2
多动	2
特发性	2
引文	2
演变	2
障碍性	2
乳腺炎	2
后遗	2
神经痛	2
前	2
一项	2
肛瘘	2
血管	2
5	2
脑小	2
血管病	2
迟发性	2
性腺	2
减退症	2
鼻咽癌	2
细胞自噬	2
运动	2
方向	2
单纯性	2
核	2
因子	2
心脏	2
艾滋病	2
余年	2
消化不良	2
路径	2
hpv	2
脑出血	2
金匮	2
肾气	2
现况	2
下肢	2
方法	2
联合	2
痤疮	2
1997	2
肛周	2
脓肿	2
胰腺癌	2
线粒体	2
铁	2
死亡	2
心血管	2
现代化	2
乙型	2
病毒性	2
肝郁气滞证	2
变应性	2
脊髓	2
结节	2
衰老	2
慢性肾脏病	2
肛门	2
所致	2
毒性	2
社区	2
眩晕	2
阳虚证	2
背景	2
腹泻	2
纤维化	2
半夏	2
现代	2
伤寒论	2
骨质	2
疏松	2
组方	2
透析	2
加重	2
痰	2
黄芪	2
建中	2
2007	2
厌食	2
桂枝	2
用药	2
呼吸	2
暂停	2
复方	2
减少	2
指标	2
类风湿	2
呼吸道	2
肌瘤	2
痉挛	2
直肠	2
胃食管反流病	2
2001	2
静脉	2
退行性	2
血小板	2
对外	2
学科	2
论治	2
免疫性	2
痛	2
脂肪性	2
骨髓	2
抑制	2
术语	2
变性	2
凋亡	2
血栓	2
载文	2
对比	2
异位症	2
阴虚证	2
前列腺癌	2
良性	2
前列腺	2
增生	2
产业	2
肝肾	2
同源	2
柴胡	2
男性	2
ⅴ	2
2017	2
中医医院	1
偏瘫	1
文化传播	1
络病	1
妇科	1
提炼	1
肥胖症	1
非药物干预	1
创伤	1
应激	1
citesspace	1
硕士	1
案例	1
河南	1
全国	1
心系	1
内分泌	1
象	1
思维	1
医保	1
支付	1
衰竭	1
设备	1
问诊	1
改良	1
生物力学	1
对于	1
干眼症	1
肾藏	1
精	1
心理学	1
分析法	1
图像	1
三叉神经痛	1
基础研究	1
舌诊近	1
肱骨	1
外上	1
髁	1
ion	1
基础理论	1
运气	1
专科	1
护士	1
典籍	1
红外热	1
成像	1
血浊	1
延续	1
隐喻	1
软坚散结	1
国家自然科学基金	1
内科	1
申请	1
运用	1
脑肠	1
互动	1
胃肠病	1
气功	1
早	1
发性	1
不全	1
价格	1
行为	1
骨关节炎	1
对名	1
辨识	1
非小	1
病证	1
工作室	1
咳嗽病	1
新冠	1
