	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1	三种中药成分体外抗耐甲氧西林金黄色葡萄球菌及其抗炎、抗氧化活性研究	SAAD AHMAD	中国农业科学院	博士	2024		404	原版阅读      CNKI AI阅读
2	小檗碱及衍生物增敏顺铂治疗非小细胞肺癌的作用机制探究	褚亚军	兰州大学	硕士	2024		120	原版阅读      CNKI AI阅读
3	小檗碱预处理通过SIRT1/Nrf2信号通路抑制铁死亡减轻小鼠肠缺血再灌注损伤的研究	高焕焕	兰州大学	硕士	2024		158	原版阅读      CNKI AI阅读
4	小檗碱自组装纳米粒治疗乳腺癌药效学评价及机制研究	贺鹏	青岛大学	硕士	2024		645	原版阅读      CNKI AI阅读
5	负载小檗碱的多功能纳米纤维膜在糖尿病伤口愈合及瘢痕增生中的应用	吕洪雨	青岛大学	硕士	2024		139	原版阅读      CNKI AI阅读
6	小檗碱在真菌性角膜炎中作用机理的研究	姚晓峰	青岛大学	硕士	2024		84	原版阅读      CNKI AI阅读
7	小檗碱联合万古霉素对钛合金表面生物膜形成的影响及抗菌机制研究	甘锋平	广州中医药大学	博士	2024		176	原版阅读      CNKI AI阅读
8	潜阳封髓丹治疗卵巢储备功能减退（肾阴阳两虚证）的临床疗效及机制研究	张莉莉	长春中医药大学	博士	2024	1	675	原版阅读      CNKI AI阅读
9	林下种植模式下竹溪黄连规模化生产技术研究	张亚豪	华中农业大学	硕士	2024		109	原版阅读      CNKI AI阅读
10	负载盐酸小檗碱的间充质干细胞源性外泌体对溃疡性结肠炎的改善作用	张还晓	江南大学	硕士	2024		264	原版阅读      CNKI AI阅读
11	基于DC-iDEP筛选巨噬细胞吞噬能力的方法构建及小檗碱抑制吞噬的作用机制研究	王淼淼	天津中医药大学	硕士	2024		35	原版阅读      CNKI AI阅读
12	小檗碱通过Notch信号通路改善脓毒性心肌病作用及机制研究	凌颖	广州中医药大学	硕士	2024		30	原版阅读      CNKI AI阅读
13	致病性马红球菌胶体金抗体检测方法的建立及小檗碱体内外抑菌效果的研究	段兴勋	新疆农业大学	硕士	2024		24	原版阅读      CNKI AI阅读
14	小檗碱微胶囊的制备及对沙门氏菌性肠炎治疗效果评价	张旭梅	新疆农业大学	硕士	2024		50	原版阅读      CNKI AI阅读
15	马齿苋抗高尿酸血症作用机制研究	张一鸣	吉林大学	硕士	2024		1039	原版阅读      CNKI AI阅读
16	运动与小檗碱对T2DM大鼠胰岛细胞、IR及骨骼肌糖代谢的影响及可能机制	杨悦	安徽师范大学	硕士	2024		136	原版阅读      CNKI AI阅读
17	运动结合小檗碱对2型糖尿病大鼠骨骼肌Rab5及糖代谢的影响	方明	安徽师范大学	硕士	2024		151	原版阅读      CNKI AI阅读
18	连朴颗粒工艺及质量评价研究	王婕	长春中医药大学	硕士	2024		311	原版阅读      CNKI AI阅读
19	蒙药地格达-8味胶囊的制备工艺及质量标准研究	齐力格尔	内蒙古民族大学	硕士	2024		184	原版阅读      CNKI AI阅读
20	多鳞白甲鱼Hepcidin的基因鉴定、抗菌功能及其激动剂的应用研究	潘奎全	西北农林科技大学	硕士	2024		89	原版阅读      CNKI AI阅读
21	牛羊呼吸道多杀性巴氏杆菌的毒力和耐药性研究及中药单体对其生物被膜形成的影响	孙月	内蒙古农业大学	硕士	2024		279	原版阅读      CNKI AI阅读
22	基于肠道菌群探究小檗碱与黄芩苷配伍增效改善高脂血症的机制	高源	中国中医科学院	博士	2024		1204	原版阅读      CNKI AI阅读
23	复方丹黄皮炎膏的药学研究	胡迪	武汉轻工大学	硕士	2024		181	原版阅读      CNKI AI阅读
24	黄连解毒汤治疗糖尿病足溃疡的临床疗效及小檗碱促进糖尿病小鼠皮肤创面愈合的机制研究	郑力铭	湖北中医药大学	硕士	2024		98	原版阅读      CNKI AI阅读
25	盐酸小檗碱增强吡柔比星杀伤HCC细胞的效应及机制研究	和海妍	中国人民解放军陆军军医大学	硕士	2024		37	原版阅读      CNKI AI阅读
